id	locationID	locality	countryCode	occurrenceStatus	establishmentMeans	eventDate
153902	ISO_3166-2:BE	Belgium	BE	present	native	2014-02-28/2014-02-28
9959	ISO_3166-2:BE-WAL	Walloon Region	BE	present	native	2014-06-01/2021-06-07
187739	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2012-11-23/2017-04-08
20365	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2008-12-13/2022-01-19
10015	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	1968-01-01/1968-01-01
8000	ISO_3166-2:BE-BRU	Brussels-Capital Region	BE	present	native	2011-07-10/2013-06-08
27486	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2004-10-10/2018-10-09
24147	ISO_3166-2:BE	Belgium	BE	present	native	2013-10-03/2015-07-16
16357	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2014-12-09/2018-03-07
23603	ISO_3166-2:BE	Belgium	BE	present	native	2017-09-09/2017-09-09
596465	ISO_3166-2:BE	Belgium	BE	present	native	2009-07-12/2021-08-11
17446	ISO_3166-2:BE-WAL	Walloon Region	BE	present	native	2013-03-04/2020-02-03
24287	ISO_3166-2:BE-BRU	Brussels-Capital Region	BE	present	native	2016-03-13/2021-04-17
21499	ISO_3166-2:BE	Belgium	BE	present	native	2010-03-27/2012-03-21
153797	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2011-08-10/2015-12-19
21115	ISO_3166-2:BE	Belgium	BE	present	introduced	2012-08-03/2012-10-25
159008	ISO_3166-2:BE	Belgium	BE	present	native	2014-08-20/2021-01-21
14201	ISO_3166-2:BE-BRU	Brussels-Capital Region	BE	present	native	2009-11-01/2009-11-01
147644	ISO_3166-2:BE	Belgium	BE	present	introduced	2012-05-20/2017-06-04
22634	ISO_3166-2:BE	Belgium	BE	present	native	2009-04-25/2020-05-17
180369	ISO_3166-2:BE	Belgium	BE	present	introduced	2009-12-29/2012-01-09
17545	ISO_3166-2:BE	Belgium	BE	present	native	2014-02-21/2014-02-21
157425	ISO_3166-2:BE	Belgium	BE	present	native	2017-07-04/2018-08-29
208194	ISO_3166-2:BE-WAL	Walloon Region	BE	present	introduced	2014-07-05/2015-09-30
672954	ISO_3166-2:BE	Belgium	BE	present	native	2007-11-20/2018-12-05
672889	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2021-01-08/2021-01-08
799860	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2017-05-19/2017-08-28
181111	ISO_3166-2:BE	Belgium	BE	present	native	2014-09-13/2021-10-09
24516	ISO_3166-2:BE	Belgium	BE	present	introduced	2009-10-14/2020-08-01
672986	ISO_3166-2:BE	Belgium	BE	present	native	2009-11-10/2017-04-13
26221	ISO_3166-2:BE	Belgium	BE	present	native	2008-05-07/2020-04-23
16235	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2000-10-21/2021-10-05
24423	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2007-09-01/2021-08-24
673669	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	1989-09-24/2019-10-08
673444	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2013-12-04/2018-12-10
15412	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2004-10-10/2010-10-16
912633	ISO_3166-2:BE	Belgium	BE	present	native	2019-01-30/2020-10-29
800122	ISO_3166-2:BE-WAL	Walloon Region	BE	present	introduced	2021-10-28/2021-11-17
912594	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2019-01-01/2019-01-01
188593	ISO_3166-2:BE	Belgium	BE	present	native	1994-03-27/2018-10-04
598947	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2014-03-12/2019-12-12
25226	ISO_3166-2:BE-WAL	Walloon Region	BE	present	introduced	2019-09-14/2019-09-14
912575	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2019-01-26/2021-02-05
98089	ISO_3166-2:BE	Belgium	BE	present	introduced	2018-04-19/2021-06-06
28177	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2015-09-19/2021-03-14
595610	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2013-03-13/2013-03-13
549036	ISO_3166-2:BE-WAL	Walloon Region	BE	present	native	2020-05-10/2020-05-10
79457	ISO_3166-2:BE	Belgium	BE	present	introduced	2020-06-12/2020-06-12
26111	ISO_3166-2:BE-WAL	Walloon Region	BE	present	native	2016-06-19/2016-06-19
26239	ISO_3166-2:BE-WAL	Walloon Region	BE	present	native	2003-05-10/2021-06-07
187688	ISO_3166-2:BE	Belgium	BE	present	introduced	2017-11-01/2022-01-06
14831	ISO_3166-2:BE-BRU	Brussels-Capital Region	BE	present	native	1991-11-03/2012-08-08
28169	ISO_3166-2:BE-WAL	Walloon Region	BE	present	native	2018-11-29/2018-11-29
618035	ISO_3166-2:BE-BRU	Brussels-Capital Region	BE	present	native	2020-08-30/2021-09-12
27397	ISO_3166-2:BE	Belgium	BE	present	native	2015-03-24/2015-03-24
17656	ISO_3166-2:BE	Belgium	BE	present	native	2013-03-04/2020-04-04
17402	ISO_3166-2:BE	Belgium	BE	present	native	2011-02-19/2021-05-15
8799	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2018-09-24/2018-10-28
105006	ISO_3166-2:BE	Belgium	BE	present	native	2008-10-20/2010-09-26
26275	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2015-06-20/2021-05-01
673702	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	1998-09-20/2016-11-12
23822	ISO_3166-2:BE-WAL	Walloon Region	BE	present	native	2010-05-16/2013-07-06
23630	ISO_3166-2:BE	Belgium	BE	present	native	2012-03-28/2013-05-06
25027	ISO_3166-2:BE	Belgium	BE	present	native	2013-06-22/2021-06-27
23544	ISO_3166-2:BE	Belgium	BE	present	native	2017-06-08/2017-06-08
70501	ISO_3166-2:BE-WAL	Walloon Region	BE	present	introduced	2017-09-20/2017-09-20
672879	ISO_3166-2:BE	Belgium	BE	present	native	2008-08-21/2016-07-18
551860	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2013-06-01/2021-10-04
547256	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2017-08-14/2017-08-14
534625	ISO_3166-2:BE-WAL	Walloon Region	BE	present	native	1994-05-10/2021-07-09
722097	ISO_3166-2:BE	Belgium	BE	present	native	2020-02-01/2020-02-01
673590	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2003-10-05/2003-11-10
80422	ISO_3166-2:BE	Belgium	BE	present	native	2011-05-29/2020-08-13
17553	ISO_3166-2:BE	Belgium	BE	present	native	2016-06-07/2020-05-04
534593	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2015-08-16/2021-08-01
15971	ISO_3166-2:BE-BRU	Brussels-Capital Region	BE	present	native	2011-09-07/2011-09-07
16033	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2008-01-20/2018-11-05
106785	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2014-07-10/2014-07-10
16283	ISO_3166-2:BE	Belgium	BE	present	native	2018-12-19/2018-12-19
188301	ISO_3166-2:BE	Belgium	BE	present	native	2010-10-12/2018-01-24
644222	ISO_3166-2:BE	Belgium	BE	present	native	2011-09-03/2021-09-19
16604	ISO_3166-2:BE-BRU	Brussels-Capital Region	BE	present	native	2017-08-04/2017-08-04
16949	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2009-04-21/2014-12-10
140496	ISO_3166-2:BE	Belgium	BE	present	introduced	2015-05-10/2021-05-23
25274	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2007-04-23/2021-07-12
199448	ISO_3166-2:BE-VLG	Flemish Region	BE	present	introduced	2019-06-18/2021-07-18
797860	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2016-07-29/2021-10-11
25048	ISO_3166-2:BE	Belgium	BE	present	native	2020-06-20/2020-06-20
28219	ISO_3166-2:BE	Belgium	BE	present	native	2019-04-09/2019-04-09
6594	ISO_3166-2:BE	Belgium	BE	present	introduced	2019-07-01/2019-09-12
26179	ISO_3166-2:BE	Belgium	BE	present	native	2010-10-03/2019-09-18
20549	ISO_3166-2:BE	Belgium	BE	present	native	2017-05-28/2017-05-29
27538	ISO_3166-2:BE	Belgium	BE	present	native	2011-10-09/2012-09-15
158601	ISO_3166-2:BE-WAL	Walloon Region	BE	present	native	2016-06-16/2016-06-16
14269	ISO_3166-2:BE	Belgium	BE	present	native	2008-12-26/2021-01-31
15451	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2008-09-21/2020-06-14
27066	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2010-11-07/2021-02-05
17049	ISO_3166-2:BE	Belgium	BE	present	native	2008-10-12/2015-11-04
28749	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2021-05-21/2021-05-21
7260	ISO_3166-2:BE-WAL	Walloon Region	BE	present	introduced	2013-09-20/2015-08-22
188243	ISO_3166-2:BE	Belgium	BE	present	native	2012-11-29/2018-01-25
25601	ISO_3166-2:BE-WAL	Walloon Region	BE	present	native	2020-04-25/2020-04-25
185617	ISO_3166-2:BE	Belgium	BE	present	native	2010-05-07/2012-05-31
18590	ISO_3166-2:BE	Belgium	BE	present	native	2012-02-25/2020-03-15
13876	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	1996-10-20/2014-12-26
26186	ISO_3166-2:BE	Belgium	BE	present	native	2020-06-01/2020-06-01
1003174	ISO_3166-2:BE	Belgium	BE	present	native	2020-10-11/2020-10-11
14964	ISO_3166-2:BE	Belgium	BE	present	native	2013-10-27/2013-10-27
208299	ISO_3166-2:BE	Belgium	BE	present	native	2005-03-14/2016-10-26
157174	ISO_3166-2:BE-WAL	Walloon Region	BE	present	native	2016-09-13/2016-09-13
23968	ISO_3166-2:BE-WAL	Walloon Region	BE	present	native	2019-04-06/2019-04-06
9550	ISO_3166-2:BE-BRU	Brussels-Capital Region	BE	present	native	2021-06-16/2021-06-16
617807	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2015-10-04/2020-08-19
17695	ISO_3166-2:BE	Belgium	BE	present	native	2008-10-19/2021-10-01
158729	ISO_3166-2:BE-WAL	Walloon Region	BE	present	native	2014-11-19/2016-03-19
105210	ISO_3166-2:BE-VLG	Flemish Region	BE	present	native	2017-09-01/2020-09-27
