EU_state;GRIIS_checklist
Austria;1100c043-55c0-433d-b2f3-60747ab9de11
Belgium;6d9e952f-948c-4483-9807-575348147c7e
Bulgaria;d015d9e7-9eed-47c6-a0cd-62c627ad1e8b
Croatia;f82a4f7f-6f84-4b58-82e6-6b41ec9a1f49
Cyprus;2f7ea7d1-a73f-46f6-b790-7339126a999f
Czechia;42e9b7bc-81d7-41d7-9508-1b06a688f062
Denmark;ad5cba8c-45fb-428c-aafa-7ff013d0fdaf
Estonia;3840e95d-a55d-4372-a924-b1ff34b856d0
Finland;b79c5ba3-d447-4a73-bcbf-557f3241eeb2
France;692a0aec-70e2-4038-ac9c-9a1d7acc025f
Germany;2a281675-c184-4d54-a47e-5d3a7ec6653f
Greece;137a287c-911c-40b5-8051-6dc86b110bcc
Hungary;9560647c-14bf-46af-b1f3-0525c2f8a53d
Ireland;278c9199-be97-4fd0-9c6c-6c46c4e2369e
Italy;f6ae66a3-f267-4d03-8541-fdfa7ffc9eaf
Latvia;c7056977-c11e-45d7-a348-11ff192a3cae
Lithuania;ced4b662-2201-4c55-b31b-fc5643a9a72f
Luxembourg;a811c07f-206d-46b8-ad59-93af4e2ce7c0
Malta;dfaf6b4a-43d6-4649-82c7-60f34ddf13ba
Netherlands;6e74aa5e-d156-4fd9-9299-049307da6fe8
Poland;250aa99d-b510-4f89-a68a-0a463ab7c530
Portugal;61b67ae8-c623-42a9-9172-3283f2f1473b
Romania;d20e290d-4921-4244-a9a1-59ffa3bfa975
Slovakia;1353de13-65e6-4e97-ab77-8b1830498152
Slovenia;628b9441-36ba-41bc-a260-be5c655bd04b
Spain;c7873d63-4c63-419f-8d84-a7a6cb29c5e8
Sweden;c1a61294-6195-4055-9b22-a2e48e5e16d7
