"","accepted_taxa_key","accepted_taxon_name","speciesKey","kingdom","phylum","class","order","family","scientificName","rank","taxonomicStatus"
"1",3219441,"Nostoc pruniforme C.Agardh ex Bornet & Flahault",3219441,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Nostoc pruniforme C.Agardh ex Bornet & Flahault","SPECIES","ACCEPTED"
"2",1282222,"Netelia tarsata (Brischke, 1880)",1282222,"Animalia","Arthropoda","Insecta","Hymenoptera","Ichneumonidae","Netelia tarsata (Brischke, 1880)","SPECIES","ACCEPTED"
"3",3219423,"Nostoc commune Vaucher",3219423,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Nostocaceae","Nostoc commune Vaucher","SPECIES","DOUBTFUL"
"4",2480568,"Buteo auguralis Salvadori, 1865",2480568,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo auguralis Salvadori, 1865","SPECIES","ACCEPTED"
"5",2481861,"Phalacrocorax aristotelis (Linnaeus, 1761)",2481861,"Animalia","Chordata","Aves","Suliformes","Phalacrocoracidae","Gulosus aristotelis (Linnaeus, 1761)","SPECIES","HOMOTYPIC_SYNONYM"
"6",11403089,"Gongolaria baccata (S.G.Gmelin) Molinari & Guiry",11403089,"Chromista","Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Cystoseira baccata (S.G.Gmel.) P.C.Silva","SPECIES","SYNONYM"
"7",6170530,"Trichoglossus haematodus moluccanus (Gmelin, 1788)",2479686,"Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Trichoglossus moluccanus (Gmelin, 1788)","SPECIES","SYNONYM"
"8",7786923,"Vibrio paxillifer O.F.Müller, 1786",7786923,"Chromista","Ochrophyta","Bacillariophyceae",NA,NA,"Bacillaria paxillifer (O.F.Müll.) Hendey","SPECIES","SYNONYM"
"9",7571305,"Scymnus femoralis (Gyllenhal, 1827)",7571305,"Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Scymnus femoralis (Gyllenhal, 1827)","SPECIES","ACCEPTED"
"10",5422716,"Halidrys siliquosa (L.) Lyngb.",5422716,"Chromista","Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","Halidrys siliquosa (L.) Lyngb.","SPECIES","ACCEPTED"
"11",2498393,"Dendrocygna autumnalis (Linnaeus, 1758)",2498393,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Dendrocygna autumnalis (Linnaeus, 1758)","SPECIES","ACCEPTED"
"12",3196524,"Ascophyllum nodosum (L.) Le Jol.",3196524,"Chromista","Ochrophyta","Phaeophyceae","Fucales","Fucaceae","Ascophyllum nodosum (L.) Le Jol.","SPECIES","ACCEPTED"
"13",1623972,"Campiglossa producta (Loew, 1844)",1623972,"Animalia","Arthropoda","Insecta","Diptera","Tephritidae","Campiglossa producta (Loew, 1844)","SPECIES","ACCEPTED"
"14",5422556,"Undaria pinnatifida (Harv.) Suringar",5422556,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Alariaceae","Undaria pinnatifida (Harv.) Suringar","SPECIES","ACCEPTED"
"15",4504348,"Sapyga quinquepunctata (Fabricius, 1781)",4504348,"Animalia","Arthropoda","Insecta","Hymenoptera","Sapygidae","Sapyga quinquepunctata (Fabricius, 1781)","SPECIES","ACCEPTED"
"16",3195749,"Chorda filum (L.) Stackh.",3195749,"Chromista","Ochrophyta","Phaeophyceae","Laminariales","Chordaceae","Chorda filum (L.) Stackh.","SPECIES","ACCEPTED"
"17",9435454,"Navicula didyma Schmidt, 1881",9435454,"Chromista","Ochrophyta","Bacillariophyceae","Naviculales","Naviculaceae","Diploneis didyma (Schmidt) F.W.Mills, 1934","SPECIES","SYNONYM"
"18",7993353,"Eupithecia valerianata (Hübner)",7993353,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Eupithecia valerianata (Hübner)","SPECIES","ACCEPTED"
"19",3193005,"Chaetoceros armatus T.West, 1860",3193005,"Chromista","Ochrophyta","Bacillariophyceae","Chaetocerotales","Chaetocerotaceae","Attheya armata (T.West) R.M.Crawford, 1994","SPECIES","SYNONYM"
"20",2481957,"Gavia adamsii (G.R.Gray, 1859)",2481957,"Animalia","Chordata","Aves","Gaviiformes","Gaviidae","Gavia adamsii (G.R.Gray, 1859)","SPECIES","ACCEPTED"
"21",3196437,"Fucus serratus L.",3196437,"Chromista","Ochrophyta","Phaeophyceae","Fucales","Fucaceae","Fucus serratus L.","SPECIES","ACCEPTED"
"22",8230622,"Nassula ornata Ehrenberg, 1834",8230622,"Chromista","Ciliophora","Nassophorea","Nassulida","Nassulidae","Nassula ornata Ehrenberg, 1834","SPECIES","ACCEPTED"
"23",1798372,"Hyppa rectilinea (Esper, 1788)",1798372,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Hyppa rectilinea (Esper, 1788)","SPECIES","ACCEPTED"
