"","key","scientificName","kingdom","phylum","class","order","family","genus","Source","Thematic_group","ID"
"1",2685361,"Abies grandis (Douglas ex D.Don) Lindl.","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","BE IAS Sec. (2024)","Plants","HS9"
"2",2685663,"Abies homolepis Siebold & Zucc.","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Mayer et al. (2017)","Plants","HS10"
"3",2685552,"Abies nordmanniana (Steven) Spach","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Abies","Bayón & Vilá (2019); BE IAS Sec. (2024); Mayer et al. (2017)","Plants","HS12"
"4",1967873,"Abraxas grossulariata (Linnaeus, 1758)","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Abraxas","Lieurance et al. (2023)","TER Inverts","HS17"
"5",3152614,"Abutilon theophrasti Medik.","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abutilon","Carboneras et al. (2018); Steen et al. (2024)","Plants","HS25"
"6",5370829,"Acaena caesiiglauca (Bitter) Bergmans","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena","Adriaens et al. (2022)","Plants","HS56"
"7",5370688,"Acaena microphylla Hook.fil.","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena","Mayer et al. (2017)","Plants","HS58"
"8",1248774,"Acantholyda erythrocephala (Linnaeus, 1758)","Animalia","Arthropoda","Insecta","Hymenoptera","Pamphiliidae","Acantholyda","Clarke & McGeoch (2023)","TER Inverts","HS69"
"9",8116963,"Acanthus hungaricus (Borbás) Baen.","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Acanthus","Mayer et al. (2017)","Plants","HS79"
"10",5415455,"Acanthus mollis L.","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","Acanthus","BE IAS Sec. (2024); Mayer et al. (2017); Steen et al. (2024)","Plants","HS80"
"11",7100404,"Acer buergerianum Miq.","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","BE IAS Sec. (2024); Mayer et al. (2017)","Plants","HS92"
"12",3767816,"Acer japonicum Thunb.","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","BE IAS Sec. (2024); Mayer et al. (2017)","Plants","HS95"
"13",3189866,"Acer negundo L.","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Adriaens et al. (2022); Bayón & Vilá (2019); BE IAS Sec. (2024); Carboneras et al. (2018); Mayer et al. (2017); Roy et al. (2023); Steen et al. (2024)","Plants","HS97"
"14",3189882,"Acer palmatum Thunb.","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Bayón & Vilá (2019); BE IAS Sec. (2024); Mayer et al. (2017)","Plants","HS98"
"15",3189883,"Acer rubrum L.","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Bayón & Vilá (2019); BE IAS Sec. (2024); Japan Government (20XX); Mayer et al. (2017)","Plants","HS101"
"16",7263145,"Acer rufinerve Siebold & Zucc.","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","BE IAS Sec. (2024); Carboneras et al. (2018); EPPO (2024b); EPPO (2024c); Mayer et al. (2017); Monaco et al. (2020); Steen et al. (2024); van Riel et al. (2023)","Plants","HS102"
"17",3189837,"Acer saccharinum L.","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Bayón & Vilá (2019); BE IAS Sec. (2024)","Plants","HS103"
"18",8305409,"Achatina achatina (Linnaeus, 1758)","Animalia","Mollusca","Gastropoda","Stylommatophora","Achatinidae","Achatina","Carboneras et al. (2018); Monaco et al. (2020); Roy et al. (2019a)","TER Inverts","HS117"
"19",1718308,"Acheta domesticus (Linnaeus, 1758)","Animalia","Arthropoda","Insecta","Orthoptera","Gryllidae","Acheta","Clarke & McGeoch (2023)","TER Inverts","HS120"
"20",3120284,"Achillea filipendulina Lam.","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea","BE IAS Sec. (2024); Mayer et al. (2017)","Plants","HS124"
