"","key","scientificName","kingdom","phylum","class","order","family","genus","Source","Thematic_group","ID"
"21",4142326,"Achnatherum calamagrostis (L.) P.Beauv.","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Achnatherum","BE IAS Sec. (2024); van Riel et al. (2023)","Plants","HS128"
"22",1739816,"Acleris comariana (Lienig & Zeller, 1846)","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Cano-Barbacil et al. (2023)","TER Inverts","HS139"
"23",1739748,"Acleris ferrugana (Denis & Schiffermüller), 1775","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Cano-Barbacil et al. (2023)","TER Inverts","HS140"
"24",1740120,"Acleris rhombana (Denis & Schiffermüller), 1775","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Acleris","Cano-Barbacil et al. (2023)","TER Inverts","HS144"
"25",5386764,"Acmella oleracea (L.) R.K.Jansen","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Acmella","Mayer et al. (2017)","Plants","HS146"
"26",2873769,"Acorus calamus L.","Plantae","Tracheophyta","Liliopsida","Acorales","Acoraceae","Acorus","BE IAS Sec. (2024); Mayer et al. (2017)","Plants","HS152"
"27",2489004,"Acridotheres ginginianus (Latham, 1790)","Animalia","Chordata","Aves","Passeriformes","Sturnidae","Acridotheres","Monaco et al. (2020)","Verts","HS157"
"28",1782672,"Acronicta rumicis Linnaeus, 1758","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta","Lieurance et al. (2023)","TER Inverts","HS171"
"29",2049661,"Adelges abietis (Linnaeus, 1758)","Animalia","Arthropoda","Insecta","Hemiptera","Adelgidae","Adelges","Clarke & McGeoch (2023)","TER Inverts","HS195"
"30",2049732,"Adelges cooleyi (Gillette, 1907)","Animalia","Arthropoda","Insecta","Hemiptera","Adelgidae","Adelges","Clarke & McGeoch (2023)","TER Inverts","HS196"
"31",2651826,"Adiantum raddianum C.Presl","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Adiantum","Bayón & Vilá (2019)","Plants","HS205"
"32",3034620,"Aegopodium podagraria L.","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Aegopodium","Jones et al. (2024)","Plants","HS216"
"33",3189807,"Aesculus pavia L.","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Aesculus","BE IAS Sec. (2024)","Plants","HS229"
"34",2479553,"Agapornis personatus Reichenow, 1887","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Agapornis","Monaco et al. (2020)","Verts","HS243"
"35",7307327,"Agastache rugosa (Fisch. & C.A.Mey.) Kuntze","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Agastache","BE IAS Sec. (2024)","Plants","HS251"
"36",2767031,"Agave americana L.","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Agave","Adriaens et al. (2022); Carboneras et al. (2018); Mayer et al. (2017)","Plants","HS252"
"37",5400552,"Ageratina altissima (L.) R.M.King & H.Rob.","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Ageratina","BE IAS Sec. (2024)","Plants","HS269"
"38",5401760,"Ageratum houstonianum Mill.","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Ageratum","Bayón & Vilá (2019); Cano-Barbacil et al. (2023); Carboneras et al. (2018); Mayer et al. (2017)","Plants","HS270"
"39",5769072,"Agriopis aurantiaria (Hübner)","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Agriopis","Lieurance et al. (2023)","TER Inverts","HS282"
"40",1861644,"Agrius convolvuli Linnaeus, 1758","Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","Agrius","Lieurance et al. (2023)","TER Inverts","HS285"
"41",2706444,"Agrostis scabra Willd.","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","Pergl et al. (2016)","Plants","HS287"
"42",1771214,"Agrotis exclamationis (Linnaeus, 1758)","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Agrotis","Lieurance et al. (2023)","TER Inverts","HS288"
"43",1771245,"Agrotis ipsilon (Hufnagel, 1766)","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Agrotis","Lieurance et al. (2023)","TER Inverts","HS289"
"44",1770772,"Agrotis puta (Hübner, 1803)","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Agrotis","Lieurance et al. (2023)","TER Inverts","HS290"
"45",1771040,"Agrotis segetum (Denis & Schiffermüller), 1775","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Agrotis","Lieurance et al. (2023)","TER Inverts","HS291"
"46",3033965,"Akebia quinata (Houtt.) Decne.","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Lardizabalaceae","Akebia","BE IAS Sec. (2024); Carboneras et al. (2018); EPPO (2024b); EPPO (2024c); Lucy et al. (2020); Matthews et al. (2017); Mayer et al. (2017); Roy et al. (2023); Steen et al. (2024); Verbrugge et al. (2015); Weber et al. (2018)","Plants","HS298"
"47",2360305,"Alburnoides bipunctatus (Bloch, 1782)","Animalia","Chordata",NA,"Cypriniformes","Cyprinidae","Alburnoides","Cano-Barbacil et al. (2023)","FW","HS309"
"48",5406789,"Alcea rosea L.","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Alcea","BE IAS Sec. (2024); Carboneras et al. (2018); Mayer et al. (2017)","Plants","HS311"
"49",3028528,"Alchemilla mollis (Buser) Rothm.","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Alchemilla","BE IAS Sec. (2024); Mayer et al. (2017)","Plants","HS314"
"50",5185175,"Alcyonium digitatum Linnaeus, 1758","Animalia","Cnidaria","Anthozoa","Malacalcyonacea","Alcyoniidae","Alcyonium","Cottier‐Cook et al. (2024)","Marine","HS316"
"51",2315382,"Alitta succinea (Leuckart, 1847)","Animalia","Annelida","Polychaeta","Phyllodocida","Nereididae","Alitta","Cano-Barbacil et al. (2023); Clarke et al. (2019)","Marine","HS341"
"52",2856891,"Allium karataviense Regel","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","Allium","Mayer et al. (2017)","Plants","HS356"
"53",2857679,"Allium macleanii Baker","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","Allium","Mayer et al. (2017)","Plants","HS357"
"54",3152519,"Althaea cannabina L.","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Althaea","Mayer et al. (2017)","Plants","HS413"
"55",2493698,"Amandava amandava (Linnaeus, 1758)","Animalia","Chordata","Aves","Passeriformes","Estrildidae","Amandava","Carboneras et al. (2018); Lieurance et al. (2023); Roy et al. (2019a)","Verts","HS420"
"56",5384395,"Amaranthus blitoides S.Watson","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Adriaens et al. (2022); Carboneras et al. (2018)","Plants","HS426"
"57",6109611,"Amaranthus caudatus L.","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Adriaens et al. (2022); Carboneras et al. (2018); Mayer et al. (2017)","Plants","HS427"
"58",5384390,"Amaranthus cruentus L.","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Adriaens et al. (2022); Carboneras et al. (2018); Mayer et al. (2017)","Plants","HS429"
"59",5384396,"Amaranthus deflexus L.","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Adriaens et al. (2022); Carboneras et al. (2018); Pergl et al. (2016)","Plants","HS430"
"60",5384364,"Amaranthus hybridus L.","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Adriaens et al. (2022); Carboneras et al. (2018)","Plants","HS431"
"61",9080185,"Amaranthus hypochondriacus L.","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Adriaens et al. (2022); Carboneras et al. (2018)","Plants","HS433"
"62",5384393,"Amaranthus palmeri S.Watson","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Adriaens et al. (2022); EPPO (2024a); EPPO (2024b); Roy et al. (2023)","Plants","HS435"
"63",5384359,"Amaranthus powellii S.Watson","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Adriaens et al. (2022); Peyton et al. (2019)","Plants","HS436"
"64",7323711,"Amaranthus quitensis Kunth","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Adriaens et al. (2022)","Plants","HS437"
"65",6109534,"Amaranthus retroflexus L.","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Adriaens et al. (2022); Carboneras et al. (2018)","Plants","HS439"
"66",5384401,"Amaranthus spinosus L.","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Adriaens et al. (2022)","Plants","HS440"
"67",5548401,"Amaranthus standleyanus Parodi ex Covas","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Adriaens et al. (2022)","Plants","HS441"
"68",5384383,"Amaranthus thunbergii Moq.","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Adriaens et al. (2022)","Plants","HS442"
"69",8577467,"Amaranthus tuberculatus (Moq.) J.D.Sauer","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Adriaens et al. (2022); EPPO (2024a)","Plants","HS444"
"70",5384334,"Amaranthus viridis L.","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Amaranthus","Adriaens et al. (2022)","Plants","HS445"
"71",2479666,"Amazona amazonica (Linnaeus, 1766)","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Amazona","Monaco et al. (2020)","Verts","HS450"
"72",3110686,"Ambrosia psilostachya DC.","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Ambrosia","Adriaens et al. (2022)","Plants","HS466"
"73",3110588,"Ambrosia trifida L.","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Ambrosia","Carboneras et al. (2018); EPPO (2024a); EPPO (2024b); Roy et al. (2023)","Plants","HS467"
"74",2431965,"Ambystoma macrodactylum Baird, 1850","Animalia","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma","Pili (2017)","Verts","HS468"
"75",3024109,"Amelanchier ×lamarckii F.G.Schroed.","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Amelanchier","Adriaens et al. (2022); Carboneras et al. (2018); Mayer et al. (2017); Steen et al. (2024)","Plants","HS482"
"76",3188711,"Ammannia coccinea Rottb.","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Lythraceae","Ammannia","Bayón & Vilá (2019); Peyton et al. (2019)","Plants","HS491"
"77",5357407,"Amorpha fruticosa L.","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Amorpha","BE IAS Sec. (2024); Carboneras et al. (2018); EPPO (2024c); Matthews et al. (2017); Mayer et al. (2017); Peyton et al. (2019); van Riel et al. (2023); Verbrugge et al. (2015)","Plants","HS497"
"78",6467647,"Amphibalanus improvisus (Darwin, 1854)","Animalia","Arthropoda","Maxillopoda","Sessilia","Balanidae","Amphibalanus","Carboneras et al. (2018); Clarke et al. (2019); Cottier‐Cook et al. (2024); Goldsmit et al. (2021)","Marine","HS505"
"79",2925870,"Amsinckia menziesii (Lehm.) A.Nelson & J.F.Macbr.","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","Amsinckia","Monaco et al. (2020)","Plants","HS523"
"80",4926336,"Anaphalis margaritacea (L.) Benth.","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Anaphalis","BE IAS Sec. (2024)","Plants","HS539"
"81",3136929,"Anaphalis triplinervis (Sims) C.B.Clarke","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Anaphalis","Mayer et al. (2017)","Plants","HS540"
"82",2498094,"Anas capensis J.F.Gmelin, 1789","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Monaco et al. (2020)","Verts","HS541"
"83",2498108,"Anas luzonica Fraser, 1839","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Monaco et al. (2020)","Verts","HS542"
"84",2498084,"Anas superciliosa J.F.Gmelin, 1789","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anas","Monaco et al. (2020)","Verts","HS547"
"85",4497120,"Andricus corruptrix (Schlechtendal, 1870)","Animalia","Arthropoda","Insecta","Hymenoptera","Cynipidae","Andricus","Clarke & McGeoch (2023)","TER Inverts","HS566"
"86",1309600,"Andricus kollari (Hartig, 1843)","Animalia","Arthropoda","Insecta","Hymenoptera","Cynipidae","Andricus","Clarke & McGeoch (2023)","TER Inverts","HS567"
"87",4497054,"Andricus lignicolus (Hartig, 1840)","Animalia","Arthropoda","Insecta","Hymenoptera","Cynipidae","Andricus","Clarke & McGeoch (2023)","TER Inverts","HS568"
"88",4497124,"Andricus quercuscalicis (Burgsdorff, 1783)","Animalia","Arthropoda","Insecta","Hymenoptera","Cynipidae","Andricus","Clarke & McGeoch (2023)","TER Inverts","HS569"
"89",5333413,"Andromeda polifolia L.","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Andromeda","Bayón & Vilá (2019)","Plants","HS570"
"90",3033242,"Anemone blanda Schott & Kotschy","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Anemone","Bayón & Vilá (2019); Mayer et al. (2017)","Plants","HS579"
"91",5371808,"Angelica archangelica L.","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Angelica","BE IAS Sec. (2024)","Plants","HS588"
"92",2498034,"Anser cygnoides (Linnaeus, 1758)","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anser","Cano-Barbacil et al. (2023); Carboneras et al. (2018); Roy et al. (2019a)","Verts","HS643"
"93",2498035,"Anser indicus (Latham, 1790)","Animalia","Chordata","Aves","Anseriformes","Anatidae","Anser","Carboneras et al. (2018); Lucy et al. (2020); Verbrugge et al. (2015)","Verts","HS644"
"94",2773902,"Anthericum liliago L.","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","Anthericum","CABI (2024)","Plants","HS649"
"95",5371746,"Anthriscus cerefolium (L.) Hoffm.","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","Anthriscus","Bayón & Vilá (2019)","Plants","HS658"
"96",3172001,"Antirrhinum majus L.","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Antirrhinum","Mayer et al. (2017)","Plants","HS666"
"97",8007222,"Apamea anceps (Denis & Schiffermüller), 1775","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Apamea","Lieurance et al. (2023)","TER Inverts","HS688"
"98",7438067,"Apamea remissa (Hübner)","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Apamea","CABI (2024)","Inverts","HS689"
"99",1796117,"Apamea sordens (Hufnagel, 1766)","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Apamea","Lieurance et al. (2023)","TER Inverts","HS690"
"100",8138711,"Apatura ilia (Denis & Schiffermüller), 1775","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Apatura","Lieurance et al. (2023)","TER Inverts","HS692"
"101",9083295,"Aphis gossypii Glover, 1877","Animalia","Arthropoda","Insecta","Hemiptera","Aphididae","Aphis","Carboneras et al. (2018); Clarke & McGeoch (2023); Lucy et al. (2020)","TER Inverts","HS714"
"102",1248553,"Apion haematodes Kirby, 1808","Animalia","Arthropoda","Insecta","Coleoptera","Apionidae","Apion","CABI (2024)","Inverts","HS724"
"103",5328593,"Aponogeton distachyos L.f.","Plantae","Tracheophyta","Liliopsida","Alismatales","Aponogetonaceae","Aponogeton","BE IAS Sec. (2024); Branquart et al. (2022); Cano-Barbacil et al. (2023); D'hondt & Adriaens (2022); EPPO (2024b); Matthews et al. (2017); Mayer et al. (2017); Oficialdegui et al. (2023); Steen et al. (2024); Verbrugge et al. (2015)","Plants","HS747"
"104",1920218,"Aporia crataegi (Linnaeus, 1758)","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Aporia","Lieurance et al. (2023)","TER Inverts","HS759"
"105",8599762,"Aproceros leucopoda Takeuchi, 1939","Animalia","Arthropoda","Insecta","Hymenoptera","Argidae","Aproceros","Cano-Barbacil et al. (2023); Clarke & McGeoch (2023); EPPO (2024b)","TER Inverts","HS763"
"106",3033191,"Aquilegia vulgaris L.","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Aquilegia","Bayón & Vilá (2019)","Plants","HS770"
"107",5375020,"Arabis alpina L.","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Arabis","Bayón & Vilá (2019)","Plants","HS772"
"108",5375012,"Arabis procurrens Waldst. & Kit.","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Arabis","Mayer et al. (2017)","Plants","HS777"
"109",3036892,"Aralia elata (Miq.) Seem.","Plantae","Tracheophyta","Magnoliopsida","Apiales","Araliaceae","Aralia","BE IAS Sec. (2024); Mayer et al. (2017)","Plants","HS779"
"110",1902533,"Araschnia levana (Linnaeus, 1758)","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Araschnia","Lieurance et al. (2023)","TER Inverts","HS781"
"111",2684984,"Araucaria araucana (Molina) K.Koch","Plantae","Tracheophyta","Pinopsida","Pinales","Araucariaceae","Araucaria","Bayón & Vilá (2019); BE IAS Sec. (2024); Mayer et al. (2017)","Plants","HS785"
"112",3114986,"Arctotheca calendula (L.) Levyns","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Arctotheca","Adriaens et al. (2022); Carboneras et al. (2018); EPPO (2024b); EPPO (2024c); Peyton et al. (2019); Steen et al. (2024)","Plants","HS808"
"113",6096907,"Arge berberidis Schrank, 1802","Animalia","Arthropoda","Insecta","Hymenoptera","Argidae","Arge","Clarke & McGeoch (2023)","TER Inverts","HS822"
"114",1747141,"Argyrotaenia ljungiana (Thunberg, 1797)","Animalia","Arthropoda","Insecta","Lepidoptera","Tortricidae","Argyrotaenia","Cano-Barbacil et al. (2023)","TER Inverts","HS834"
"115",5001643,"Aromia moschata (Linnaeus, 1758)","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Aromia","Lieurance et al. (2023)","TER Inverts","HS853"
"116",5363627,"Aronia melanocarpa (Michx.) Elliott","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Aronia","Adriaens et al. (2022); BE IAS Sec. (2024)","Plants","HS855"
"117",3121226,"Artemisia biennis Willd.","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Artemisia","Cano-Barbacil et al. (2023)","Plants","HS865"
"118",3121581,"Artemisia dracunculus L.","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Artemisia","Bayón & Vilá (2019); BE IAS Sec. (2024); Mayer et al. (2017)","Plants","HS867"
"119",3120950,"Artemisia ludoviciana Nutt.","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Artemisia","BE IAS Sec. (2024)","Plants","HS873"
"120",3121258,"Artemisia princeps Pamp.","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Artemisia","EPPO (2024b); EPPO (2024c)","Plants","HS876"
"121",3121474,"Artemisia rubripes Nakai","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Artemisia","CABI (2024)","Plants","HS877"
"122",3120790,"Artemisia verlotiorum Lamotte","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Artemisia","Adriaens et al. (2022); Carboneras et al. (2018)","Plants","HS883"
"123",5330661,"Arum italicum Mill.","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Arum","BE IAS Sec. (2024)","Plants","HS892"
"124",5362136,"Aruncus dioicus (Walter) Fernald","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Aruncus","BE IAS Sec. (2024)","Plants","HS894"
"125",2703041,"Arundo donax L.","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Arundo","Adriaens et al. (2022); BE IAS Sec. (2024); Dawson et al. (2022); D'hondt & Adriaens (2022); Leuven et al. (2016); Matthews et al. (2017); Osunkoya et al. (2022); Steen et al. (2024); van Riel et al. (2023)","Plants","HS897"
"126",7313595,"Asarum europaeum L.","Plantae","Tracheophyta","Magnoliopsida","Piperales","Aristolochiaceae","Asarum","Roy et al. (2023)","Plants","HS900"
"127",5200467,"Ascidiella aspersa (Müller, 1776)","Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","Ascidiella","Cano-Barbacil et al. (2023); Clarke et al. (2019); Cottier‐Cook et al. (2024); Dawson et al. (2022); Karachle et al. (2017); Lieurance et al. (2023)","Marine","HS905"
"128",3170266,"Asclepias incarnata L.","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias","BE IAS Sec. (2024); Weber et al. (2018)","Plants","HS907"
"129",3170260,"Asclepias speciosa Torr.","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias","Weber et al. (2018)","Plants","HS908"
"130",3196524,"Ascophyllum nodosum (L.) Le Jol.","Chromista","Ochrophyta","Phaeophyceae","Fucales","Fucaceae","Ascophyllum","Monaco et al. (2020)","Marine","HS912"
"131",5387396,"Aster alpinus L.","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Aster","BE IAS Sec. (2024)","Plants","HS939"
"132",5122232,"Athrips rancidella (Herrich-Schäffer, 1854)","Animalia","Arthropoda","Insecta","Lepidoptera","Gelechiidae","Athrips","CABI (2024)","Inverts","HS973"
"133",3083680,"Atriplex micrantha Ledeb.","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Atriplex","Adriaens et al. (2022)","Plants","HS988"
"134",3033077,"Aucuba japonica Thunb.","Plantae","Tracheophyta","Magnoliopsida","Garryales","Garryaceae","Aucuba","Bayón & Vilá (2019); BE IAS Sec. (2024); Mayer et al. (2017)","Plants","HS999"
"135",2115769,"Austrominius modestus (Darwin, 1854)","Animalia","Arthropoda",NA,NA,"Elminiidae","Austrominius","Carboneras et al. (2018)","Inverts","HS1014"
"136",1792418,"Autographa gamma (Linnaeus, 1758)","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Autographa","Tshikhudo et al. (2023) [Preprint]","TER Inverts","HS1016"
"137",4400961,"Badonnelia titei Pearman, 1953","Animalia","Arthropoda","Insecta","Psocodea","Sphaeropsocidae","Badonnelia","Clarke & McGeoch (2023)","TER Inverts","HS1075"
"138",4481117,"Baetis liebenauae KefferMüller, 1974","Animalia","Arthropoda","Insecta","Ephemeroptera","Baetidae","Baetis","Clarke & McGeoch (2023)","TER Inverts","HS1076"
"139",2115706,"Balanus glandula Darwin, 1854","Animalia","Arthropoda","Maxillopoda","Sessilia","Balanidae","Balanus","Cano-Barbacil et al. (2023); Carboneras et al. (2018); Cottier‐Cook et al. (2024); Dawson et al. (2022); Monaco et al. (2020); Roy et al. (2019a); Tsiamis et al. (2019)","Marine","HS1085"
"140",2976091,"Baptisia australis (L.) R.Br.","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Baptisia","Mayer et al. (2017)","Plants","HS1098"
